"round","acc_alpha_0_6","malicious_clients","acc_alpha_0_4","acc_alpha_0_2","WBC","LDP","None"
0,"82.48","6","82.33","82.38","81.96","81.06","82.31"
1,"84.78","6","84.46","83.75","84.55","83.32","83.82"
2,"84.6","0","84.58","84.78","80.05","82.4","85.26"
3,"85.29","0","85.26","86.26","83.79","82.74","86.24"
4,"85.9","0","85.57","85.88","83.57","78.22","86.45"
5,"85.8","0","86.16","86.58","83.23","82.88","86.82"
6,"85.57","0","85.75","86.76","83.44","82.9","87"
7,"84.68","0","85.82","86.97","83.56","83.36","87.46"
8,"86.26","0","86.21","87.08","84.75","84.15","87.41"
9,"86.18","0","86.43","86.86","83.2","84.19","87.49"
10,"86.56","6","86.69","87.24","85.07","85.36","87.89"
11,"86.57","6","86.85","87.46","85.15","85.62","87.85"
12,"85.88","0","86.73","86.95","85.21","84.79","87.74"
13,"86.09","0","86.97","87.73","84.18","85.01","87.88"
14,"86.26","0","87.3","87.73","84.02","85.19","87.97"
15,"86.35","0","87.1","87.74","84.85","85.08","87.81"
16,"86.18","0","86.93","87.25","84.47","84.73","87.97"
17,"85.51","0","86.79","87.78","84.71","84.54","88.13"
18,"86.28","0","86.68","87.3","84.66","84.8","88.31"
19,"86.09","0","86.52","87.63","84.73","84.19","88.17"
20,"86.35","6","86.87","87.64","84.68","84.83","88.29"
21,"86.23","6","87.5","87.97","85.72","86.06","88.45"
22,"86.4","0","87.44","87.5","85.07","85.17","88.55"
23,"85.89","0","87.48","87.83","85.39","85.66","88.44"
24,"86.6","0","87.17","87.77","84.77","85.62","88.48"
25,"85.97","0","86.55","87.44","84.03","85.75","88.43"
26,"86.2","0","86.83","87.62","85.15","85.2","88.68"
27,"86.68","0","87.04","87.64","84.61","85.37","88.48"
28,"86.12","0","86.63","87.68","84.59","84.74","88.55"
29,"85.2","0","86.65","87.52","84.11","84.53","88.76"
30,"86.27","6","86.85","87.55","85.09","85.3","88.75"
31,"86.54","6","86.23","87.76","85.43","85.32","88.42"
32,"84.32","0","86.97","87.95","85.05","84.78","88.54"
33,"85.96","0","86.82","87.88","84.46","85.58","88.81"
34,"85.77","0","87.04","87.88","84.56","85.38","88.63"
35,"85.72","0","86.88","87.75","84.99","85.39","89.01"
36,"85.71","0","86.88","87.46","84.94","85.63","89.02"
37,"85.97","0","87.24","87.96","84.96","85.74","88.99"
38,"85.67","0","86.69","87.83","84.51","85.15","88.83"
39,"86.15","0","87.15","87.7","85.04","85.05","88.67"