"round","LeadFL","malicious_clients","LDP","None","WBC"
"0","81.83","2","78.87","81.49","77.79"
"1","83.34","1","80.83","84.69","81.21"
"2","85.43","2","82.79","85.34","81.09"
"3","85.75","5","84.18","86.53","84.11"
"4","86.21","1","80.1","86.99","83.42"
"5","86.28","1","83.28","87.03","82.93"
"6","86.18","5","84.78","87.17","84.42"
"7","86.59","4","84.63","87.48","84.35"
"8","86.65","1","84.48","87.73","84.07"
"9","85.73","3","83.57","87.97","83.97"
"10","86.74","2","83.54","87.76","83.78"
"11","86.65","2","84.34","87.98","84.26"
"12","86.6","3","84.39","88.15","84.57"
"13","86.78","2","83.9","88.31","84.79"
"14","86.64","0","85.14","88.21","84.32"
"15","86.48","3","84.78","88.02","84.69"
"16","87.22","6","85.48","88.16","84.97"
"17","86.74","4","85.35","88.29","85.06"
"18","86.96","4","85.16","88.4","84.64"
"19","87.01","1","85.02","88.6","84.54"
"20","86.7","4","85.24","88.33","84.75"
"21","86.1","3","85.29","88.67","85.13"
"22","86.43","4","85.23","88.84","84.81"
"23","86.61","3","84.76","88.68","84.99"
"24","85.97","2","85.07","88.66","85.14"
"25","86.1","2","84.77","88.77","85.07"
"26","86.36","3","85.19","88.61","84.75"
"27","86.66","3","85.5","88.7","85.01"
"28","86.48","3","84.58","88.83","84.8"
"29","86.48","1","85.33","89.06","85.34"
"30","86.61","1","85.25","88.94","84.81"
"31","86.62","3","85.33","88.94","84.82"
"32","86.62","0","85.32","88.91","85.47"
"33","86.08","3","84.11","89.09","83.72"
"34","86.45","3","85.38","89.09","85.13"
"35","86.51","0","85.2","89.17","85.05"
"36","86.25","2","84.92","89.1","84.93"
"37","86.52","2","85.11","89.15","85.28"
"38","86.79","2","85.48","89.04","85.06"
"39","86.37","3","84.8","89.19","85.62"